Month,Monthly Call Stat,Contact Type,Monthly Contacts
JAN,Routed,Call,"248,634"
JAN,Routed,Chat,"71,058"
JAN,Routed,Text,"64,379"
JAN,Answered,Call,"218,391"
JAN,Answered,Chat,"68,397"
JAN,Answered,Text,"63,491"
JAN,Abandoned ,Call,"30,243"
JAN,Abandoned ,Chat,"2,661"
JAN,Abandoned ,Text,888
FEB,Routed,Call,"226,634"
FEB,Routed,Chat,"59,225"
FEB,Routed,Text,"60,365"
FEB,Answered,Call,"199,377"
FEB,Answered,Chat,"57,854"
FEB,Answered,Text,"59,772"
FEB,Abandoned ,Call,"27,257"
FEB,Abandoned ,Chat,"1,371"
FEB,Abandoned ,Text,593
MAR,Routed,Call,"243,417"
MAR,Routed,Chat,"61,146"
MAR,Routed,Text,"64,259"
MAR,Answered,Call,"214,894"
MAR,Answered,Chat,"63,019"
MAR,Answered,Text,"63,778"
MAR,Abandoned ,Call,"28,523"
MAR,Abandoned ,Chat,"1,127"
MAR,Abandoned ,Text,481
APR,Routed,Call,"242,995"
APR,Routed,Chat,"61,082"
APR,Routed,Text,"64,859"
APR,Answered,Call,"215,075"
APR,Answered,Chat,"59,629"
APR,Answered,Text,"64,323"
APR,Abandoned ,Call,"27,920"
APR,Abandoned ,Chat,"1,453"
APR,Abandoned ,Text,536
MAY,Routed,Call,"262,920"
MAY,Routed,Chat,"68,507"
MAY,Routed,Text,"71,067"
MAY,Answered,Call,"235,292"
MAY,Answered,Chat,"66,954"
MAY,Answered,Text,"70,534"
MAY,Abandoned ,Call,"27,628"
MAY,Abandoned ,Chat,"1,553"
MAY,Abandoned ,Text,533
JUN,Routed,Call,"250,610"
JUN,Routed,Chat,"65,180"
JUN,Routed,Text,"66,860"
JUN,Answered,Call,"223,411"
JUN,Answered,Chat,"63,501"
JUN,Answered,Text,"66,338"
JUN,Abandoned ,Call,"27,199"
JUN,Abandoned ,Chat,"1,679"
JUN,Abandoned ,Text,522
JUL,Routed,Call,"264,803"
JUL,Routed,Chat,"59,144"
JUL,Routed,Text,"76,886"
JUL,Answered,Call,"237,770"
JUL,Answered,Chat,"56,593"
JUL,Answered,Text,"76,157"
JUL,Abandoned ,Call,"27,033"
JUL,Abandoned ,Chat,"2,551"
JUL,Abandoned ,Text,729